state,date,sentiment,total,row,col,pval
DC,19.5,0.01897874354561101,1162,5,10,0.1055
DC,21.5,-0.0010811032863849786,852,5,10,0.7545
DC,23.5,0.016456487889273355,1156,5,10,0.2367
DC,25.5,0.03445665024630542,1421,5,10,0.007902
DC,27.5,0.029934003091190108,1294,5,10,0.008666
DC,29.5,-0.012250608446671439,1397,5,10,0.7596
DC,31.0,0.0009118705035971238,834,5,10,0.7014
NY,1.5,-0.08237173331405018,13829,3,11,5.369e-69
NY,3.5,-0.04521530232954063,35243,3,11,9.91e-61
NY,5.5,-0.03143389244558258,7810,3,11,3.125e-08
NY,7.5,-0.05518402662229618,6010,3,11,8.864e-14
NY,9.5,-0.05193421963499056,6356,3,11,6.159e-12
NY,11.5,-0.02570669393826702,5378,3,11,0.003404
NY,13.5,-0.007439327599687256,3837,3,11,0.3795
NY,15.5,0.007506504065040647,3936,3,11,0.2084
NY,17.5,0.011441776400722956,3873,3,11,0.2159
NY,19.5,0.015769213533497646,4463,3,11,0.08456
NY,21.5,0.009404474558936332,3911,3,11,0.4126
NY,23.5,0.012141102257636116,4518,3,11,0.5872
NY,25.5,0.02913741061347384,5314,3,11,4.26e-05
NY,27.5,0.013259312320916905,5235,3,11,0.05267
NY,29.5,0.004482950376520565,5179,3,11,0.8831
NY,31.0,0.0046901715039577825,3032,3,11,0.2629
NJ,1.5,-0.10476147919876734,2596,4,12,5.42e-23
NJ,3.5,-0.06303954179783142,5718,4,12,1.559e-20
NJ,5.5,-0.03835811138014528,1652,4,12,0.01546
NJ,7.5,-0.055706575781876516,1247,4,12,0.001152
NJ,9.5,-0.08413975644699141,1396,4,12,1.964e-10
NJ,11.5,-0.033716666666666666,1170,4,12,0.01346
NJ,13.5,-0.005117208182912159,831,4,12,0.6821
NJ,15.5,-0.027452765486725667,904,4,12,0.483
NJ,17.5,0.005785951327433632,904,4,12,0.6543
NJ,19.5,0.03519527410207939,1058,4,12,0.02364
NJ,21.5,0.04442656587473002,926,4,12,0.02255
NJ,23.5,0.011411228406909791,1042,4,12,0.3708
NJ,25.5,0.021895119863013707,1168,4,12,0.3137
NJ,27.5,0.015940034071550254,1174,4,12,0.3831
NJ,29.5,0.026791753402722177,1249,4,12,0.2285
NJ,31.0,0.03124538690476191,672,4,12,0.4787
WA,1.5,-0.07410397727272727,7040,3,3,8.173e-28
WA,3.5,-0.03489927432786105,16812,3,3,8.077e-13
WA,5.5,-0.01532061122956645,4221,3,3,0.02544
WA,7.5,-0.013698758865248226,3384,3,3,0.1482
WA,9.5,-0.04193363744545815,2521,3,3,1.961e-05
WA,11.5,-0.036949403669724774,2180,3,3,0.006143
WA,13.5,-0.01299050279329609,1611,3,3,0.2561
WA,15.5,0.014288722294654494,1534,3,3,0.3692
WA,17.5,0.02626370757180157,1532,3,3,0.1653
WA,19.5,0.028759370078740153,1905,3,3,0.03454
WA,21.5,0.0452607634543179,1598,3,3,0.04045
WA,23.5,0.06112063412179164,1987,3,3,2.945e-05
WA,25.5,0.05388533568904593,2264,3,3,1.74e-06
WA,27.5,0.025513567839195977,2189,3,3,0.07842
WA,29.5,0.03431398104265403,2110,3,3,0.00626
WA,31.0,0.01944660194174757,1236,3,3,0.3878
MO,1.5,-0.0875031762295082,1952,5,7,7.258e-13
MO,3.5,-0.06716807888970051,4107,5,7,3.653e-14
MO,5.5,-0.025311852704257766,869,5,7,0.2853
MO,7.5,-0.026789107763615295,863,5,7,0.1079
MO,9.5,-0.0778998753117207,802,5,7,8.824e-05
MO,11.5,-0.04377128987517337,721,5,7,0.06115
MO,13.5,-0.00102220149253731,536,5,7,0.8369
MO,15.5,0.05998746438746439,702,5,7,0.0007804
MO,17.5,0.0343628612716763,692,5,7,0.04193
MO,19.5,0.0333266500622665,803,5,7,0.1731
MO,21.5,0.03129184713375797,785,5,7,0.3438
MO,23.5,0.04714081172491545,887,5,7,0.01412
MO,25.5,0.01994661274014156,989,5,7,0.09235
MO,27.5,0.027065203761755488,957,5,7,0.07355
MO,29.5,0.0029774731823599514,839,5,7,0.8095
MO,31.0,0.037233526011560686,519,5,7,0.3222
OR,1.5,-0.07830147614143494,2913,4,3,8.365e-15
OR,3.5,-0.056140090005625344,5333,4,3,1.129e-14
OR,5.5,-0.048192917369308606,1186,4,3,0.01085
OR,7.5,-0.06664124548736462,1108,4,3,2.293e-07
OR,9.5,-0.08341147368421054,950,4,3,1.793e-05
OR,11.5,-0.02026708385481852,799,4,3,0.7436
OR,13.5,-0.009776011560693645,692,4,3,0.8693
OR,15.5,-0.009012403100775198,645,4,3,0.4633
OR,17.5,-0.020397627118644065,590,4,3,0.3894
OR,19.5,0.009613161465400272,737,4,3,0.8929
